Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.0,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Accepted-In Progress,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Accepted-In Progress,Accepted-Wait,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Accepted-In Progress,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Accepted-In Progress,Accepted-Wait,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Assigned,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Accepted-In Progress,Accepted-In Progress,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Accepted-In Progress,Accepted-Wait,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Accepted-In Progress,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Accepted-In Progress,Queued-Awaiting Assignment,Accepted-Assigned,Queued-Awaiting Assignment,Accepted-In Progress,Accepted-Wait,Queued-Awaiting Assignment,Accepted-In Progress,Completed-Closed,,,,,,,,,,,,,,,,,,,,,,,,,,
