Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,Assign seriousness,Take in charge ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
2.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
3.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
4.0,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
5.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
6.0,Assign seriousness,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
7.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
8.0,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
9.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
10.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
11.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
12.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
13.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
14.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
15.0,Assign seriousness,Take in charge ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
16.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
17.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
18.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
19.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
20.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
21.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
22.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
23.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
24.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
25.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
26.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
27.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
28.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
29.0,Assign seriousness,Take in charge ticket,Create SW anomaly,Require upgrade,Resolve ticket,Closed,,,,,,,,,
30.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
31.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
32.0,Assign seriousness,Take in charge ticket,Wait,Wait,Resolve ticket,Closed,,,,,,,,,
33.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
34.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
35.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,
36.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
37.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
38.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
39.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
