Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.0,t,ac,b,o,i,ae,w,h,y,af,n,z,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,u,a,x,l,v,p,ab,aa,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,u,a,x,l,v,p,ab,d,a,u,x,l,v,p,ab,aa,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,u,a,x,l,v,p,ab,e,aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,f,w,i,o,ae,h,y,af,z,n,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,ac,t,b,w,ae,o,i,y,h,af,z,n,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,ac,t,b,w,i,o,ae,h,y,af,z,n,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,f,o,ae,w,,h,y,af,z,n,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,f,ae,o,i,w,y,h,af,n,z,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,f,w,ae,i,o,y,h,af,n,z,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,f,i,o,ae,w,h,y,af,n,z,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,ac,t,b,o,i,w,ae,y,h,af,z,n,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,u,a,x,l,v,p,ab,d,a,x,l,v,p,u,ab,d,u,a,x,l,v,p,ab,aa,e,,,,,,,,,,,,,,,,,,,,,,,,
13.0,t,,b,i,ae,o,w,h,y,af,z,n,m,j,g,q,ad,k,s,r,c,ag,,,,,,,,,,,,,,,,,,,,,,,,,,,
