Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
1.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
2.0,Create Fine,Send Fine,Insert Fine Notification,,Send for Credit Collection,,,,,,,,,,,,,,,
3.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
4.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
5.0,,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
6.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,Payment,,,,,,,,,,,,,,
7.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
8.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
9.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
10.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
11.0,,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
12.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
13.0,Create Fine,,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
14.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
15.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
16.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
17.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
18.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
19.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
20.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
21.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
22.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
23.0,Create Fine,,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
24.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,Payment,,,,,,,,,,,,,,
25.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
26.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
27.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
28.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
29.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
30.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
31.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
32.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
33.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
34.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
35.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
36.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
37.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
38.0,Create Fine,,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
39.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
40.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
41.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
42.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
43.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
44.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
45.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
46.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
47.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
48.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
49.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
50.0,,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
51.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
52.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
53.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
54.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
55.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
56.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
57.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
58.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
59.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
60.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
61.0,Create Fine,,,,,,,,,,,,,,,,,,,
62.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
63.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
64.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,Payment,,,,,,,,,,,,,,
65.0,Create Fine,Send Fine,,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
66.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
67.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
68.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
69.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
70.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
71.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
72.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
73.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
74.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
75.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
76.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
77.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
78.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
79.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
80.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
81.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
82.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
83.0,Create Fine,Send Fine,,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
84.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
85.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
86.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
87.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
88.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
89.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
90.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
91.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
92.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
93.0,Create Fine,Send Fine,,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
94.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,Payment,,,,,,,,,,,,,,
95.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
96.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,Send for Credit Collection,,,,,,,,,,,,,,
97.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
98.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
99.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
100.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
101.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
102.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
103.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
104.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
105.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
106.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
107.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
108.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
109.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,Payment,,,,,,,,,,,,,,
110.0,Create Fine,Send Fine,Insert Fine Notification,,Send for Credit Collection,,,,,,,,,,,,,,,
111.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
112.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
113.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
114.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
115.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
116.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
117.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
118.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
119.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
120.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
121.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
122.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
123.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
124.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
125.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
126.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
127.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
128.0,Create Fine,Payment,,,,,,,,,,,,,,,,,,
129.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Send for Credit Collection,,,,,,,,,,,,,,,
130.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Insert Date Appeal to Prefecture,Send Appeal to Prefecture,Receive Result Appeal from Prefecture,Notify Result Appeal to Offender,Payment,,,,,,,,,,,
131.0,Create Fine,Send Fine,Insert Fine Notification,Add penalty,Payment,,,,,,,,,,,,,,,
